type,recipe_id,ingredient,amount_sum,units_std,servings,calories,value,amount_per,calories_per
cupcake,136471,chocolate,0.5,cups,24,130,1/2 cup unsweetened cocoa powder,0.020833333333333332,5.416666666666667
cupcake,136471,eggs,4,eggs,24,130,4 eggs,0.16666666666666666,5.416666666666667
cupcake,136471,flour,2.25,cups,24,130,1 1/2 cups white rice flour;3/4 cup millet flour,0.09375,5.416666666666667
cupcake,136471,milk,1,cups,24,130,1 cup milk,0.041666666666666664,5.416666666666667
cupcake,136471,other,0.0208333,cups,24,130,1 teaspoon xanthan gum,8.680541666666666e-4,5.416666666666667
cupcake,136471,salt,0.0208333,cups,24,130,1 teaspoon salt,8.680541666666666e-4,5.416666666666667
cupcake,136471,sour cream,0.6666666666666666,cups,24,130,2/3 cup sour cream,0.027777777777777776,5.416666666666667
cupcake,136471,sugar,1.25,cups,24,130,1 1/4 cups white sugar,0.052083333333333336,5.416666666666667
cupcake,136471,vanilla,0.0416666,cups,24,130,2 teaspoons vanilla extract,0.0017361083333333333,5.416666666666667
cupcake,137363,baking powder,0.0416666,cups,16,201,2 teaspoons baking powder,0.0026041625,12.5625
cupcake,137363,butter,0.625,cups,16,201,10 tablespoons butter,0.0390625,12.5625
cupcake,137363,chocolate,0.75,cups,16,201,3/4 cup unsweetened cocoa powder,0.046875,12.5625
cupcake,137363,eggs,4,eggs,16,201,4 eggs,0.25,12.5625
cupcake,137363,flour,1.5,cups,16,201,1 1/2 cups all-purpose flour,0.09375,12.5625
cupcake,137363,milk,0.75,cups,16,201,3/4 cup milk,0.046875,12.5625
cupcake,137363,nut,0.005208325,cups,16,201,1/4 teaspoon almond extract,3.255203125e-4,12.5625
cupcake,137363,salt,0.005208325,cups,16,201,1/4 teaspoon salt,3.255203125e-4,12.5625
cupcake,137363,sugar,1.25,cups,16,201,1 1/4 cups white sugar,0.078125,12.5625
cupcake,137363,vanilla,0.0208333,cups,16,201,1 teaspoon vanilla extract,0.00130208125,12.5625
cupcake,138932,baking powder,0.0416666,cups,16,137,2 teaspoons baking powder,0.0026041625,8.5625
cupcake,138932,baking soda,0.005208325,cups,16,137,1/4 teaspoon baking soda,3.255203125e-4,8.5625
cupcake,138932,eggs,2,eggs,16,137,2 eggs,0.125,8.5625
cupcake,138932,flour,1.5,cups,16,137,1 1/2 cups all-purpose flour,0.09375,8.5625
cupcake,138932,shortening,0.3333333333333333,cups,16,137,1/3 cup vegetable shortening (such as crisco®),0.020833333333333332,8.5625
cupcake,138932,sour cream,0.3333333333333333,cups,16,137,1/3 cup sour cream,0.020833333333333332,8.5625
cupcake,138932,sugar,0.75,cups,16,137,3/4 cup white sugar,0.046875,8.5625
cupcake,138932,vanilla,0.0208333,cups,16,137,1 teaspoon vanilla extract,0.00130208125,8.5625
cupcake,139889,baking soda,0.0416666,cups,15,362,2 teaspoons baking soda,0.002777773333333333,24.133333333333333
cupcake,139889,butter,0.25,cups,15,362,"1/4 cup butter, melted",0.016666666666666666,24.133333333333333
cupcake,139889,chocolate,0.25,cups,15,362,1/4 cup unsweetened cocoa powder,0.016666666666666666,24.133333333333333
