type,recipe_id,ingredient,amount_sum,units_std,servings,value,amount_per
muffin,56312,baking powder,0.015624975,cups,12,3/4 teaspoon baking powder,0.00130208125
muffin,56312,baking soda,0.01041665,cups,12,1/2 teaspoon baking soda,8.680541666666666e-4
muffin,56312,eggs,2,eggs,12,2 eggs,0.16666666666666666
muffin,56312,flour,1.5,cups,12,1 1/2 cups whole wheat flour,0.125
muffin,56312,fruit,0.5,cups,12,1/2 cup raisins,0.041666666666666664
muffin,56312,honey,0.5,cups,12,1/2 cup honey,0.041666666666666664
muffin,56312,nut,0.5,cups,12,1/2 cup chopped walnuts,0.041666666666666664
muffin,56312,oil,0.5,cups,12,1/2 cup vegetable oil,0.041666666666666664
muffin,56312,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,56312,spice,0.0208333,cups,12,1 teaspoon pumpkin pie spice,0.0017361083333333333
muffin,56312,sugar,0.5,cups,12,1/2 cup packed brown sugar,0.041666666666666664
muffin,56312,vegetable,0.75,cups,12,3/4 cup canned pumpkin puree,0.0625
muffin,59248,baking powder,0.03124995,cups,36,1 1/2 teaspoons baking powder,8.680541666666666e-4
muffin,59248,baking soda,0.03124995,cups,36,1 1/2 teaspoons baking soda,8.680541666666666e-4
muffin,59248,eggs,6,eggs,36,6 eggs,0.16666666666666666
muffin,59248,flour,4.75,cups,36,4 3/4 cups all-purpose flour,0.13194444444444445
muffin,59248,fruit,2.5,cups,36,1 1/2 cups raisins;1 cup unsweetened applesauce,0.06944444444444445
muffin,59248,nut,1,cups,36,1 cup chopped walnuts,0.027777777777777776
muffin,59248,salt,0.03124995,cups,36,1 1/2 teaspoons salt,8.680541666666666e-4
muffin,59248,spice,0.09374985,cups,36,1 1/2 teaspoons nutmeg;1 1/2 teaspoons cinnamon;1 1/2 teaspoons ground cloves,0.0026041625
muffin,59248,sugar,4,cups,36,4 cups white sugar,0.1111111111111111
muffin,59248,vegetable,3.625,cups,36,1 (29 ounce) can pumpkin,0.10069444444444445
muffin,6706,baking powder,0.0833332,cups,24,4 teaspoons baking powder,0.0034722166666666665
muffin,6706,eggs,2,eggs,24,2 eggs,0.08333333333333333
muffin,6706,flour,2.25,cups,24,1/4 cup all-purpose flour;2 cups all-purpose flour,0.09375
muffin,6706,fruit,2,cups,24,2 cups fresh blueberries,0.08333333333333333
muffin,6706,margarine,0.25,cups,24,1/4 cup margarine,0.010416666666666666
muffin,6706,milk,1,cups,24,1 cup milk,0.041666666666666664
muffin,6706,salt,0.0208333,cups,24,1 teaspoon salt,8.680541666666666e-4
muffin,6706,sugar,1.5,cups,24,1 1/2 cups white sugar,0.0625
muffin,6706,vanilla,0.0208333,cups,24,1 teaspoon vanilla extract,8.680541666666666e-4
muffin,6714,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
muffin,6714,baking soda,0.0208333,cups,12,1 teaspoon baking soda,0.0017361083333333333
muffin,6714,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,6714,flour,1.5,cups,12,1 1/2 cups unbleached all-purpose flour,0.125
muffin,6714,fruit,1,cups,12,1 cup mashed bananas,0.08333333333333333
muffin,6714,milk,0.75,cups,12,3/4 cup milk,0.0625
muffin,6714,oats,1,cups,12,1 cup rolled oats,0.08333333333333333
muffin,6714,oil,0.3333333333333333,cups,12,1/3 cup vegetable oil,0.027777777777777776
muffin,6714,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,6714,sugar,0.5,cups,12,1/2 cup white sugar,0.041666666666666664
muffin,6714,vanilla,0.01041665,cups,12,1/2 teaspoon vanilla extract,8.680541666666666e-4
muffin,6753,baking powder,0.0833332,cups,12,4 teaspoons baking powder,0.006944433333333333
muffin,6753,chocolate,0.75,cups,12,3/4 cup semisweet chocolate chips,0.0625
muffin,6753,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,6753,flour,1.25,cups,12,1 1/4 cups all-purpose flour,0.10416666666666667
muffin,6753,milk,1.25,cups,12,1 1/4 cups milk,0.10416666666666667
muffin,6753,nut,1,cups,12,1 cup chopped pecans,0.08333333333333333
muffin,6753,oats,1.25,cups,12,1 1/4 cups quick cooking oats,0.10416666666666667
muffin,6753,oil,0.5,cups,12,1/2 cup vegetable oil,0.041666666666666664
muffin,6753,salt,0.0208333,cups,12,1 teaspoon salt,0.0017361083333333333
muffin,6753,sugar,0.75,cups,12,3/4 cup packed brown sugar,0.0625
muffin,6766,baking powder,0.0625,cups,12,1 tablespoon baking powder,0.005208333333333333
